noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,Binary,0,1,0.30000000000000004,7.5600000000000005,0.34177215189873417,0.0,0.047619047619047616
0.02,Smooth,2,1,0.30000000000000004,4.48,0.18354430379746836,1.0,0.19047619047619047
0.02,Smooth,3,1,0.30000000000000004,1.8200000000000003,0.07278481012658228,2.0,0.42857142857142855
0.02,Smooth,5,1,0.30000000000000004,0.8400000000000001,0.03164556962025317,3.0,0.8095238095238095
0.02,MGL,2,1,0.30000000000000004,67.8725,0.8037974683544303,0.0,0.0
0.02,MGL,3,1,0.30000000000000004,49.81250000000001,0.7088607594936709,0.0,0.0
0.02,MGL,5,1,0.30000000000000004,30.422500000000007,0.49683544303797467,0.0,0.0
0.02,Binary,0,1,0.3500000000000001,2.24,0.10126582278481013,0.0,0.6190476190476191
0.02,Smooth,2,1,0.3500000000000001,0.56,0.02531645569620253,1.0,0.7619047619047619
0.02,Smooth,3,1,0.3500000000000001,0.21000000000000002,0.00949367088607595,2.0,0.8571428571428571
0.02,Smooth,5,1,0.3500000000000001,0.0,0.0,,1.0
0.02,MGL,2,1,0.3500000000000001,33.24,0.5949367088607594,2.0,0.0
0.02,MGL,3,1,0.3500000000000001,22.740000000000002,0.43670886075949367,1.5,0.23809523809523808
0.02,MGL,5,1,0.3500000000000001,12.940000000000001,0.24050632911392406,0.0,0.42857142857142855
0.02,Binary,0,1,0.4,0.6300000000000001,0.028481012658227847,0.0,0.7619047619047619
0.02,Smooth,2,1,0.4,0.0,0.0,,1.0
0.02,Smooth,3,1,0.4,0.0,0.0,,1.0
0.02,Smooth,5,1,0.4,0.0,0.0,,1.0
0.02,MGL,2,1,0.4,17.380000000000003,0.4462025316455696,2.0,0.0
0.02,MGL,3,1,0.4,11.640000000000002,0.30063291139240506,3.0,0.23809523809523808
0.02,MGL,5,1,0.4,6.740000000000001,0.13924050632911392,0.0,0.5714285714285714
0.02,Binary,0,1,0.45000000000000007,0.35000000000000003,0.015822784810126583,0.0,0.8571428571428571
0.02,Smooth,2,1,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,3,1,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,5,1,0.45000000000000007,0.0,0.0,,1.0
0.02,MGL,2,1,0.45000000000000007,9.83,0.31329113924050633,2.0,0.0
0.02,MGL,3,1,0.45000000000000007,7.030000000000001,0.22468354430379747,3.0,0.2857142857142857
0.02,MGL,5,1,0.45000000000000007,4.370000000000001,0.11075949367088607,5.0,0.6666666666666666
0.02,Binary,0,1,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,2,1,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,3,1,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,5,1,0.5000000000000001,0.0,0.0,,1.0
0.02,MGL,2,1,0.5000000000000001,5.2325,0.18354430379746836,2.0,0.19047619047619047
0.02,MGL,3,1,0.5000000000000001,3.8325000000000005,0.12658227848101267,3.0,0.38095238095238093
0.02,MGL,5,1,0.5000000000000001,2.2925000000000004,0.060126582278481014,5.0,0.8095238095238095
0.02,Binary,0,1,0.55,0.0,0.0,,1.0
0.02,Smooth,2,1,0.55,0.0,0.0,,1.0
0.02,Smooth,3,1,0.55,0.0,0.0,,1.0
0.02,Smooth,5,1,0.55,0.0,0.0,,1.0
0.02,MGL,2,1,0.55,1.4875000000000003,0.04430379746835443,2.0,0.5714285714285714
0.02,MGL,3,1,0.55,0.7875000000000001,0.012658227848101266,3.0,0.8095238095238095
0.02,MGL,5,1,0.55,0.5075000000000001,0.0,,1.0
0.02,Binary,0,2,0.1,1030.4,1.0,0.0,0.0
0.02,Smooth,2,2,0.1,626.0100000000001,1.0,0.0,0.0
0.02,Smooth,3,2,0.1,540.6800000000001,0.9936708860759493,0.0,0.0
0.02,Smooth,5,2,0.1,465.01000000000005,0.9367088607594937,0.0,0.0
0.02,MGL,2,2,0.1,1030.4,1.0,0.0,0.0
0.02,MGL,3,2,0.1,1030.4,1.0,0.0,0.0
0.02,MGL,5,2,0.1,1030.4,1.0,0.0,0.0
0.02,Binary,0,2,0.15000000000000002,243.04000000000002,1.0,0.0,0.0
0.02,Smooth,2,2,0.15000000000000002,174.86,0.9873417721518988,0.0,0.0
0.02,Smooth,3,2,0.15000000000000002,153.72000000000003,0.8987341772151899,0.0,0.0
0.02,Smooth,5,2,0.15000000000000002,124.88000000000001,0.7278481012658228,0.0,0.0
0.02,MGL,2,2,0.15000000000000002,243.04000000000002,1.0,0.0,0.0
0.02,MGL,3,2,0.15000000000000002,243.04000000000002,1.0,0.0,0.0
0.02,MGL,5,2,0.15000000000000002,243.04000000000002,1.0,0.0,0.0
0.02,Binary,0,2,0.2,69.65,1.0,0.0,0.0
0.02,Smooth,2,2,0.2,53.550000000000004,0.8892405063291139,0.0,0.0
0.02,Smooth,3,2,0.2,41.93000000000001,0.689873417721519,0.0,0.0
0.02,Smooth,5,2,0.2,30.240000000000002,0.43670886075949367,2.0,0.0
