part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.02,Binary,3,0.4,0.6300000000000001,0.028481012658227847
A,rho=0.0,0.02,MGL,3,0.4,16.202500000000004,0.3829113924050633
A,rho=0.0,0.02,Binary,3,0.45000000000000007,0.21000000000000002,0.00949367088607595
A,rho=0.0,0.02,MGL,3,0.45000000000000007,9.045000000000002,0.2974683544303797
A,rho=0.0,0.02,Binary,3,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,3,0.5000000000000001,5.055000000000001,0.18037974683544303
A,rho=0.0,0.02,Binary,3,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,3,0.55,2.3275000000000006,0.08227848101265822
A,rho=0.0,0.02,Binary,4,0.1,1025.92,1.0
A,rho=0.0,0.02,MGL,4,0.1,1025.92,1.0
A,rho=0.0,0.02,Binary,4,0.15000000000000002,244.37000000000003,1.0
A,rho=0.0,0.02,MGL,4,0.15000000000000002,244.37000000000003,1.0
A,rho=0.0,0.02,Binary,4,0.2,69.16000000000001,0.9968354430379747
A,rho=0.0,0.02,MGL,4,0.2,69.16000000000001,0.9968354430379747
A,rho=0.0,0.02,Binary,4,0.25,24.01,0.879746835443038
A,rho=0.0,0.02,MGL,4,0.25,133.7675,0.9525316455696202
A,rho=0.0,0.02,Binary,4,0.30000000000000004,8.260000000000002,0.370253164556962
A,rho=0.0,0.02,MGL,4,0.30000000000000004,68.63250000000001,0.7974683544303798
A,rho=0.0,0.02,Binary,4,0.3500000000000001,1.9600000000000002,0.08860759493670886
A,rho=0.0,0.02,MGL,4,0.3500000000000001,33.837500000000006,0.5791139240506329
A,rho=0.0,0.02,Binary,4,0.4,0.9100000000000001,0.04113924050632911
A,rho=0.0,0.02,MGL,4,0.4,17.4875,0.4240506329113924
A,rho=0.0,0.02,Binary,4,0.45000000000000007,0.07,0.0031645569620253164
A,rho=0.0,0.02,MGL,4,0.45000000000000007,8.665000000000001,0.2689873417721519
A,rho=0.0,0.02,Binary,4,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,4,0.5000000000000001,4.6375,0.15822784810126583
A,rho=0.0,0.02,Binary,4,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,4,0.55,2.17,0.06962025316455696
A,rho=0.0,0.02,Binary,5,0.1,1034.5300000000002,1.0
A,rho=0.0,0.02,MGL,5,0.1,1034.5300000000002,1.0
A,rho=0.0,0.02,Binary,5,0.15000000000000002,241.08,1.0
