noise_sigma,n_persist,strategy,seed,threshold_id,threshold_val,total_bytes_mbit,recall
0.02,0,Binary,0,0,0.1,1028.0900000000001,1.0
0.02,2,MGL,0,0,0.1,1028.0900000000001,1.0
0.02,3,MGL,0,0,0.1,1028.0900000000001,1.0
0.02,5,MGL,0,0,0.1,1028.0900000000001,1.0
0.02,0,Binary,0,1,0.15000000000000002,245.14000000000001,1.0
0.02,2,MGL,0,1,0.15000000000000002,245.14000000000001,1.0
0.02,3,MGL,0,1,0.15000000000000002,245.14000000000001,1.0
0.02,5,MGL,0,1,0.15000000000000002,245.14000000000001,1.0
0.02,0,Binary,0,2,0.2,72.31,1.0
0.02,2,MGL,0,2,0.2,72.31,1.0
0.02,3,MGL,0,2,0.2,72.31,1.0
0.02,5,MGL,0,2,0.2,72.31,1.0
0.02,0,Binary,0,3,0.25,24.01,0.8417721518987342
0.02,2,MGL,0,3,0.25,133.59250000000003,0.9525316455696202
0.02,3,MGL,0,3,0.25,102.09250000000002,0.9145569620253164
0.02,5,MGL,0,3,0.25,68.91250000000001,0.870253164556962
0.02,0,Binary,0,4,0.30000000000000004,8.260000000000002,0.370253164556962
0.02,2,MGL,0,4,0.30000000000000004,67.19,0.7784810126582279
0.02,3,MGL,0,4,0.30000000000000004,48.50000000000001,0.6708860759493671
0.02,5,MGL,0,4,0.30000000000000004,28.760000000000005,0.49683544303797467
0.02,0,Binary,0,5,0.3500000000000001,2.45,0.11075949367088607
0.02,2,MGL,0,5,0.3500000000000001,33.24,0.5949367088607594
0.02,3,MGL,0,5,0.3500000000000001,22.740000000000006,0.47151898734177217
0.02,5,MGL,0,5,0.3500000000000001,13.010000000000002,0.25
0.02,0,Binary,0,6,0.4,0.7000000000000001,0.03164556962025317
0.02,2,MGL,0,6,0.4,17.6075,0.4177215189873418
0.02,3,MGL,0,6,0.4,12.0075,0.3037974683544304
0.02,5,MGL,0,6,0.4,6.967500000000001,0.14240506329113925
0.02,0,Binary,0,7,0.45000000000000007,0.14,0.006329113924050633
0.02,2,MGL,0,7,0.45000000000000007,9.260000000000002,0.27848101265822783
0.02,3,MGL,0,7,0.45000000000000007,6.25,0.1930379746835443
0.02,5,MGL,0,7,0.45000000000000007,3.8700000000000006,0.0949367088607595
0.02,0,Binary,0,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,0,8,0.5000000000000001,4.6375,0.15822784810126583
0.02,3,MGL,0,8,0.5000000000000001,3.0975,0.0981012658227848
0.02,5,MGL,0,8,0.5000000000000001,1.5575,0.028481012658227847
0.02,0,Binary,0,9,0.55,0.0,0.0
0.02,2,MGL,0,9,0.55,1.8075,0.060126582278481014
0.02,3,MGL,0,9,0.55,1.1075000000000002,0.028481012658227847
0.02,5,MGL,0,9,0.55,0.6875000000000001,0.00949367088607595
0.02,0,Binary,1,0,0.1,1026.13,1.0
0.02,2,MGL,1,0,0.1,1026.13,1.0
0.02,3,MGL,1,0,0.1,1026.13,1.0
0.02,5,MGL,1,0,0.1,1026.13,1.0
0.02,0,Binary,1,1,0.15000000000000002,241.99,1.0
0.02,2,MGL,1,1,0.15000000000000002,241.99,1.0
0.02,3,MGL,1,1,0.15000000000000002,241.99,1.0
0.02,5,MGL,1,1,0.15000000000000002,241.99,1.0
0.02,0,Binary,1,2,0.2,69.79,1.0
